"","Compound","Category","Concentration","Astrocyte","DistanceScore","PCA01","PCA02","PCA03","PCA04","PCA05","PCA06","PCA07","PCA08","PCA09","PCA10","Library"
"1","2-Aminopurine","IR+ Compounds","1uM","AstroD",1.12104914725615,-0.481562642635192,0.252537513498602,-0.407794966161025,0.522540488028779,-0.485915360592847,-1.57434446010519,-0.231854928965519,1.03330044682677,-0.206228468204083,0.910227666466037,"PKE library"
"2","2-Aminopurine","IR+ Compounds","3uM","AstroD",0.498154126918193,-0.613083203978509,-1.07400589898817,0.833601268386893,1.03003636275937,-0.889934994269591,1.40388732879418,0.847079791459647,0.590323940128051,-0.35801995618144,-0.143097351955506,"PKE library"
"3","2-Aminopurine","IR+ Compounds","1uM","AstroF",1.43212817696342,1.37161672927777,0.12136133238092,0.946900834836732,0.00954345207914018,-0.138324578941059,-0.113953567068234,0.731256948099044,-0.763320036344354,-0.164452902532852,-0.207211576693359,"PKE library"
"4","2-Aminopurine","IR+ Compounds","3uM","AstroF",0.936864228638416,0.164834447450857,0.173535910522304,-0.188524674226661,1.00348121003487,-1.47675178574604,-0.110064958360139,0.664933434158096,0.367743252605943,-0.0200377284575863,-0.0123414057920277,"PKE library"
"5","2-Hydroxy-5-(2.5-dihydroxybenzylamino)benzoic acid","IR+ Compounds","3uM","AstroD",1.53813499105264,0.494733417175986,1.50501221804948,-0.57838317599298,-0.0537871724067293,0.242042328534704,0.494739203059487,0.509529697233092,0.106709218880648,0.767939138472889,0.882039546445739,"PKE library"
"6","2-Hydroxy-5-(2.5-dihydroxybenzylamino)benzoic acid","IR+ Compounds","1uM","AstroD",1.08711319143519,1.83664296913451,2.23788622641857,-0.147481526142348,1.67500146367728,1.20250351107413,0.134865864080343,-0.275324428871753,-0.0558769790945073,1.34081932235157,0.609499820430319,"PKE library"
"7","2-Hydroxy-5-(2.5-dihydroxybenzylamino)benzoic acid","IR+ Compounds","1uM","AstroF",1.28980485037763,0.00725114065851443,0.429379629521548,0.50539405049497,0.0940227855214137,-0.9571624821329,-0.77730536012169,0.853552620546274,-1.01939746615377,-1.87315150235,-1.60263181842833,"PKE library"
"8","2-Hydroxy-5-(2.5-dihydroxybenzylamino)benzoic acid","IR+ Compounds","3uM","AstroF",0.974146376631634,-0.0824636502331019,-0.696735988164673,-0.192339956272252,0.751886488091637,0.920526079728157,-0.242330828537991,0.00237099138255647,0.28415062905907,-1.38193364766177,-0.53387960396913,"PKE library"
"9","2.2'.3.3'.4.4'-Hexahydroxy-1.1'-biphenyl-6.6'-dimethanol dimethyl ether","IR+ Compounds","1uM","AstroD",1.40222834940667,-0.241238804825905,0.156944004294219,1.22195889191034,-0.412143534631322,-0.807073015361485,1.14648911959399,-1.2818926585585,0.23249738172575,0.885638937291858,-0.0319226821242746,"PKE library"
"10","2.2'.3.3'.4.4'-Hexahydroxy-1.1'-biphenyl-6.6'-dimethanol dimethyl ether","IR+ Compounds","3uM","AstroD",1.25372763095536,-0.0255895997475449,0.521822236652959,-0.747740602931923,-1.27104360164355,0.396292119073276,-0.924544254885844,0.627298831781706,0.348185198101022,0.695497533570014,-0.73909821841034,"PKE library"
"11","2.2'.3.3'.4.4'-Hexahydroxy-1.1'-biphenyl-6.6'-dimethanol dimethyl ether","IR+ Compounds","3uM","AstroF",1.26170874805082,-0.321359251426505,0.486386037871839,0.158204168171381,-0.119427727760344,0.563557687438706,-0.271281222923448,0.563140465418011,-0.600624381097571,-0.157940489988129,-1.2770717716935,"PKE library"
"12","2.2'.3.3'.4.4'-Hexahydroxy-1.1'-biphenyl-6.6'-dimethanol dimethyl ether","IR+ Compounds","1uM","AstroF",0.675269071021159,-2.42035260535052,-0.122563501220929,-0.182648905729343,-1.485064802292,1.23560278471892,-1.21728189055354,1.14731439238977,-0.616849311383039,-0.360213479173494,0.083888839245832,"PKE library"
"13","2.4-Pyridinedicarboxylic Acid","IR+ Compounds","1uM","AstroD",1.19129301132973,0.595594966701616,-0.115526471881538,-1.04373240063583,0.248923527729012,-0.318770483906562,0.37881718529892,0.475212212789224,0.351156178368159,0.591906393748287,1.72291121766195,"PKE library"
"14","2.4-Pyridinedicarboxylic Acid","IR+ Compounds","3uM","AstroF",1.4287619818695,-0.678339195643594,-0.205379267969073,-0.23025708808086,-0.656520197532858,1.37954905695392,-1.02343811532204,-0.500652462361029,0.424933846819476,1.64505707825973,-1.33446901725865,"PKE library"
"15","2.4-Pyridinedicarboxylic Acid","IR+ Compounds","1uM","AstroF",0.73669922119154,0.0855332156331357,0.126761114701708,-0.460766744745536,-0.327731707746916,-1.18289189748487,0.180841889633654,1.77286798586336,-0.102647884865187,0.436850569794104,-0.0738513236126127,"PKE library"
"16","3.4-Dichloroisocoumarin","IR+ Compounds","3uM","AstroD",1.24629662250106,0.676010207513548,1.7633116529614,-0.805917226684296,0.609417780721307,1.40649767506286,0.647125071301756,-0.146921110857204,0.221504347412814,-0.0199625574705659,-0.787687237985184,"PKE library"
"17","3.4-Dichloroisocoumarin","IR+ Compounds","1uM","AstroD",1.19346476487121,0.665686417733277,1.86701004856653,-0.267851432904346,0.927566244174468,1.43997006694952,0.994620395924531,1.26203426716544,1.58638187741282,0.808839959355676,1.97234174646702,"PKE library"
"18","3.4-Dichloroisocoumarin","IR+ Compounds","3uM","AstroF",1.31715436005878,1.46193149118581,1.15855784435952,1.16268403561762,0.878237335426828,-1.25457172466521,-0.0608928836564773,1.61578957242804,-0.689055600420454,0.94812564799347,-1.09379234372771,"PKE library"
