"","C1","C2","C3","C4","F1","F2","F3","F4","I1","I2","I3","I4","IF1","IF2","IF3","IF4"
"CIB1",0.0202149522067003,0.0354287693636923,-0.0438373957108222,-0.199220401665512,0.0730875385164733,0.00878208063235775,-0.00878208063235597,-0.0160211826071439,-0.0584060156481225,-0.0319505889685274,0.227062254341723,0.0681457003736892,0.137599530201886,-0.0234011659968054,0.149650954631465,-0.140665387555686
"ZAP70",-0.000446078780803383,0.0501787993522003,0.0178634673331262,-0.00312185682547383,0.0377515266444854,-0.131043445712615,-0.0837843825701228,0.214620111123423,-0.040990671446762,0.000446078780804271,-0.0320056744862987,-0.0316309166828406,0.270162191467088,-0.13278657479597,0.00486615038956639,0.00784421775940736
"CD4",0.0739837499406333,0.141396016708658,0.083429949391852,0.00493347161598034,-0.0351365348375499,-0.0418700905125746,-0.13262915940397,0.0831155214890682,-0.0449408611997324,0.20061276109412,-0.00493347161597946,0.0204274254880881,-0.166397628123311,-0.0461106129451929,-0.033881370858766,0.10854780706652
"NEUROD2",0.056367708391428,0.154714535650435,-0.144217063703187,-0.0036678194718256,0.0594581489691466,0.00862772826200064,-0.144217063703187,0.000346405231042013,-0.00386974430644305,0.057000081443829,0.0615310920165957,-0.144217063703187,-0.000340758057418178,-0.144217063703187,0.000340758057418178,-0.144217063703187
"P2RX2",0,0,0,0,0,0.216054328534057,0,0,0.19840297464967,0,0,0,0,0.151101662881833,0,0.252755015002458
"TNF",0.141891924311121,0.149666198213516,0,0.140549244231361,0,0,0,0,0,0.246340095578165,0.205748155719783,0,0.143876305645769,0,0.144557821760605,0
"TRAT1",-0.06676478893952,0.0029085575308585,0.189981912960362,0.0345897726287268,-0.0049815005783076,0.0558315133050478,-0.0671052578906677,0.144714175037167,-0.0683093938538972,-0.00743956810362523,-0.0029085575308585,0.202410783338951,-0.00526903117713573,0.00493586446321981,-0.064098891490036,0.117371883548402
"HINT1",0.0240028222993445,0.143381722504575,0.0598477395485677,-0.111371221665561,-0.0467424030239538,0.0110795632295275,-0.0258005944563049,-0.0286804445771427,-0.00233896067797978,0.0314006030336085,0.00233896067797801,-0.02746738924189,0.0227676040288909,0.0296496766918679,-0.0546674404305527,-0.205533652421073
"CCL4",0,0,0,0,0,0.216054328534057,0,0,0.140347319396744,0,0,0,0,0.151101662881833,0,0
"CHP2",0,0,0,0,0.144079873023506,0.152844791965188,0,0,0.140347319396744,0.142339620761928,0,0.14576442320869,0,0,0,0
"CLEC7A",0,0,0,0,0,0,0,0,0.242897566231041,0,0,0,0,0,0.144557821760605,0
"C10orf71",0,0,0,0.140549244231361,0,0.152844791965188,0,0.144563468934229,0.140347319396744,0,0,0,0,0,0,0
