"","I1","I2","I3","I4","IF1","IF2","IF3","IF4"
"GLIPR1",0.80295422529821,0.963925539162646,0.988556433957102,1,0,0.388558711473668,0.535122905086797,0.456166002908986
"ITGA4",0.645201461682192,0.801452025486627,0.80074314460892,1,0,0.105094771222198,0.161936560429979,0.386643865982526
"CSRP1",0.903462035280212,1,0.962222669017616,0.905218808461952,0,0.203111263608973,0.281468902186997,0.46197841474173
"TGM2",0.950807382986277,1,0.800802559971446,0.780179488828425,0,0.179719963525909,0.141679978523618,0.276684587369026
"LTBP3",0.474591052750455,0.501485455424834,1,0.884354398672696,0,0.0718446019916344,0.553827867134871,0.404848591568586
"RHOB",0.98052629538244,0.568001267706984,0.900025638022151,1,0.209229141604217,0,0.0665844242170705,0.0880056213736616
"RCAN1",0.979383787269333,1,0.684963615390687,0.684371126970883,0.2871702613278,0.51999888301547,0,0.285455590712484
"THBS1",0.541205149539553,1,0.617719881950134,0.379601013962231,0.0109176828566327,0.660066193596011,0.236573186471766,0
"IFFO2",0.707264344116735,1,0.844342277113148,0.853025946564246,0,0.320480998436901,0.278837131720066,0.486671798756996
"TPM2",0.752253622546952,0.9039634639037,1,0.834558670142696,0,0.324541202908489,0.309048044977954,0.531477767084071
"SMAD3",0.729485742243738,1,0.656616852202385,0.812221707527828,0,0.158766159643966,0.193424932567004,0.170611349618523
"CCN2",0.892418474528946,1,0.894779585845937,0.985321976204642,0,0.363381479744337,0.277017142187815,0.549274734971528
