"","C1","C2","C3","C4","F1","F2","F3","F4","I1","I2","I3","I4","IF1","IF2","IF3","IF4"
"PCP4",-0.0516549274096105,-0.0355089504297226,-0.26711162180314,-0.0118663424023104,0.0476576386520335,0.0118663424023104,-0.138834241513762,0.116760423464534,0.0562454797130165,0.0528840252119496,-0.2816399273566,-0.0517064744560418,0.219190600144866,0.151283691026252,-0.0910837369660342,0.232173528744084
"HTT",-0.0722649686297459,0.10695004570495,-0.0417647130931105,-0.24330827265541,0.0844118613653446,0.248092915138391,-0.124160264880624,-0.102298754610441,-0.115359952363816,0.195953614544225,-0.178241676031135,-0.02046615509453,0.0204661550945318,0.098629192798164,0.0823082957289962,0.0638669887206191
"PRKAA1",0.272665641298683,-0.119655976766953,0.0883564330324198,0.27638215799338,0.0172971463663369,-0.0462258846611405,-0.176244861188321,-0.0787675210797509,0.00120474387254177,0.156937775272208,-0.10638612822984,-0.00120474387254177,-0.114420725212652,0.0657014328224097,-0.0317461225538729,0.100333879213304
"CAMKK2",0.156669824263213,0.10591561611807,0.0456173353252289,0.180967647071371,-0.0512670952809362,0.0538928817658189,0.0378511532520331,-0.0852516957708183,0.0345706653395634,0.0435626299118645,-0.12620541519966,-0.115941182213428,-0.289906000131355,-0.0934861776521299,-0.139901046394209,-0.0345706653395617
"TREM2",-0.144560645347418,-0.144560645347418,0.0690041257351002,-0.144560645347418,-0.144560645347418,-0.144560645347418,-0.144560645347418,2.82358681147343e-06,-0.00421332595067359,0.13977367111119,0.0611875103723651,0.21173355917021,0.10443455384143,0.116916718717968,-2.82358681236161e-06,0.0619007693002231
"LRRK2",0.173546562183753,-0.0433397176623957,0.0980586811646065,-0.0605020071747058,-0.239163191785036,0.0581971061568094,0.0535907029770835,-0.100767880882073,0.188656976281248,0.175989080658431,-0.117548668985402,0.0273074735713106,-0.0300629954147302,-0.0573518550283758,-0.0273074735713106,0.144782020530997
"ZMPSTE24",-0.00437884730008165,-0.116335850482058,0.171302093798534,0.0579254158551716,-0.112858972177518,-0.0711471292572536,0.00437884730008342,0.0488061533621451,0.0873243403419259,0.0156069807027848,-0.0788335665626381,0.00629648535006666,-0.107866100638752,-0.0582873039453435,-0.0733128897400785,0.0884307530942596
"IRGM",0.200584772094615,0,0,0,0,0,0,0,0,0.201217145147016,0,0,0,0,0,0
